,Symbol,name_a,price,changesPercentage,change_a,yearHigh,yearLow,priceAvg50,priceAvg200
0,DCINX,Dunham International Stock Fund Class C,13.18,0.46,0.06,15.4,10.13,12.392353,13.636618
1,NSCCX,Nuveen NWQ Small-Cap Value Fund Class C,29.86,-2.74,-0.84,40.75,21.67,27.172941,33.193237
2,APGCX,AB Large Cap Growth Fund Class C,43.79,0.34,0.15,43.72,31.46,40.76147,40.26456
3,PWGAX,PACE International Equity Investments Class A,13.69,1.18,0.16,16.16,10.53,12.842648,14.289265
4,ASERX,American Century Select Fund R Class,80.44,0.24,0.19,84.03,58.01,75.31824,75.70713
5,SCMGX,Sands Capital Global Growth Fund Institutional Shares,29.18,0.72,0.209999,29.04,20.63,26.806765,26.546324
6,PRDSX,T. Rowe Price QM U.S. Small-Cap Growth Equity Fund,37.34,-1.09,-0.41,41.51,25.9,33.964413,36.66662
7,TGVRX,Thornburg International Value Fund Class R3,21.18,0.47,0.1,24.1,16.58,19.822647,21.499338
8,FMFCX,Fidelity Advisor Materials Fund Class C,59.51,0.83,0.490003,67.12,41.23,55.25941,59.51397
9,BARIX,Baron Asset Fund Institutional Class,92.22,0.68,0.62,97.25,64.09,84.91441,86.59103
10,SSGAX,SEI Asset Allocation Trust Aggressive Strategy Fund Class F,13.93,0.07,0.01,15.94,11.16,13.229412,14.436838
11,UOPSX,ProFunds UltraNASDAQ-100 Fund Service Class,74.71,-0.48,-0.36,88.33,42.59,67.51971,69.18919
12,SDLAX,SEI Institutional Investments Trust Dynamic Asset Allocation Fund Class A,19.29,-0.21,-0.040002,22.42,14.26,18.293236,19.447132
13,KMDVX,Keeley Mid Cap Dividend Value Fund Class A,18.94,-1.15,-0.22,24.15,12.8,17.239117,20.556324
14,JUEZX,JPMorgan U.S. Equity Fund Class R2,15.66,-0.19,-0.03,17.04,11.34,14.798235,15.339927
15,FPSVX,Frontier Phocas Small Cap Value Fund Institutional Class,24.96,-2.69,-0.69,33.15,17.9,22.505295,27.802353
16,FSCAX,Nuveen Small Cap Value Fund Class A,16.18,-3.11,-0.52,23.0,11.83,14.806471,18.945736
17,FIOIX,Fidelity Advisor Managed Retirement 2005 Fund Class I,59.11,0.03,0.02,60.19,54.7,58.28794,58.83772
18,APGAX,AB Large Cap Growth Fund Class A,61.7,0.34,0.21,61.49,44.27,57.403824,56.492645
19,TMDIX,AMG TimesSquare Mid Cap Growth Fund Class Z,18.38,0.38,0.07,21.18,12.79,16.865294,17.998604
20,CVTRX,Calamos Growth & Income Fund Class A,33.43,-0.24,-0.080002,35.91,25.66,31.55,32.80309
21,QMORX,AQR Large Cap Momentum Style Fund Class R6,21.05,0.38,0.08,23.8,15.71,19.799118,20.994486
22,GSXIX,Aberdeen U.S. Small Cap Equity Fund Institutional Service Class,33.35,-1.8,-0.61,37.01,23.28,29.635883,32.31544
23,ACTEX,American Century Zero Coupon 2020 Fund Advisor Class,102.63,0.0,0.0,102.67,100.42,102.64147,102.10309
24,SAOCX,Guggenheim Alpha Opportunity Fund Class C,14.73,-1.14,-0.17,15.45,13.17,14.40147,14.59353
25,FZAJX,Fidelity Advisor International Growth Fund Class Z,14.9,1.15,0.17,16.48,11.39,14.069118,14.882868
26,TGGAX,Touchstone International Growth Opportunities Fund Class A,21.05,0.62,0.13,23.49,16.06,19.824705,21.024706
27,DCGTX,Jackson Square SMID-Cap Growth Fund IS Class,26.09,-0.34,-0.09,26.18,16.64,22.874706,23.254559
28,SEMNX,Hartford Schroders Emerging Markets Equity Fund Class I,14.06,-0.85,-0.12,17.19,11.64,13.642941,15.064632
29,CFAIX,Calvert Conservative Allocation Fund Class I,17.3,0.06,0.010001,18.18,14.95,16.790882,17.283823
30,JTSCX,JPMorgan SmartRetirement 2050 Fund Class C,18.44,-0.16,-0.030001,22.11,14.18,17.47206,19.266691
31,NRICX,Nuveen Real Asset Income Fund Class C,20.15,0.5,0.1,25.38,15.83,19.379705,22.38728
