,Symbol,Name,Change,%_Change,50_Day_Avg,200_Day_Avg
0,FSAIX,Fidelity Select Portfolios Air Transportation Portfolio,-0.66,-1.45,40.77,60.77
1,WESCX,TETON Westwood SmallCap Equity Fund Class AAA,-0.45,-2.95,13.48,16.2
2,TFIFX,T. Rowe Price Financial Services Fund I Class,-0.29,-1.3,20.29,24.73
3,FSSNX,Fidelity Small Cap Index Fund,-0.46,-2.52,16.13,18.54
4,FSHOX,Fidelity Select Construction & Housing Portfolio,-0.9,-1.58,49.39,57.36
5,JVARX,JPMorgan Value Advantage Fund Class R5,-0.38,-1.26,27.95,32.78
6,FVDKX,Fidelity Value Discovery Fund Class K,-0.31,-1.18,24.26,27.05
7,RYCIX,Rydex Consumer Products Fund Class Investor,0.0,0.0,57.05,59.95
8,AVEDX,Ave Maria Rising Dividend Fund,-0.07,-0.43,15.05,17.06
9,RYCPX,Rydex Consumer Products Fund Class C,0.0,0.0,43.2,45.55
10,FZAMX,Fidelity Advisor Mid Cap II Fund Class Z,-0.14,-0.81,15.62,17.7
11,FITIX,Fidelity Advisor Mid Cap II Fund Class M,-0.13,-0.8,14.65,16.61
12,FIDLX,Fidelity Advisor Large Cap Fund Class Z,-0.33,-1.16,26.45,30.06
13,FALIX,Fidelity Advisor Large Cap Fund Class I,-0.32,-1.12,26.48,30.08
14,FALAX,Fidelity Advisor Large Cap Fund Class A,-0.3,-1.12,24.99,28.42
15,FDCGX,Fidelity Advisor Consumer Staples Fund Class C,0.19,0.25,74.51,79.68
16,FDFAX,Fidelity Select Consumer Staples Portfolio,0.2,0.25,77.57,83.0
17,CAMIX,Cambiar International Equity Fund Investor Class,0.42,1.96,20.35,23.62
18,CAMYX,Cambiar International Equity Institutional,0.42,1.96,20.38,23.65
19,FSMDX,Fidelity Mid Cap Index Fund,-0.1,-0.47,19.36,21.48
20,HJPNX,Hennessy Japan Fund Investor Class,0.72,1.92,34.5,35.69
21,HJPIX,Hennessy Japan Fund Institutional Class,0.74,1.92,35.56,36.79
22,CAEEX,Columbia Acorn European Fund Institutional 2 Class,0.38,1.88,18.44,20.21
23,FTUIX,Fidelity Advisor Telecommunications Fund I Class,-0.2,-0.32,59.92,60.25
24,CAECX,Columbia Acorn European Fund Class C,0.36,1.84,17.82,19.55
25,FSRPX,Fidelity Select Retailing Portfolio,-0.12,-0.67,16.28,16.15
26,FELTX,Fidelity Advisor Semiconductors Fund Class M,-0.69,-2.67,23.63,24.34
27,MIEIX,MFS Institutional International Equity Fund,0.43,1.77,23.14,25.54
28,SEVIX,SEI Institutional Managed Trust U.S. Managed Volatility Fund Class I,0.0,0.0,14.9,16.55
29,SVOAX,SEI Institutional Managed Trust U.S. Managed Volatility Fund Class F,0.0,0.0,14.9,16.55
30,FELAX,Fidelity Advisor Semiconductors Fund Class A,-0.72,-2.65,24.9,25.64
31,FMGIX,Frontier MFG Core Infrastructure Fund Institutional Class,0.26,1.6,15.79,17.15
32,HGITX,Hartford Core Equity Fund Class R5,0.02,0.06,31.34,33.17
33,HGIYX,Hartford Core Equity Fund Class Y,0.02,0.06,31.47,33.31
34,SCMIX,Columbia Seligman Communications and Information Fund Institutional 2 Class,-1.69,-1.91,81.6,85.35
35,FIVFX,Fidelity International Capital Appreciation Fund,0.33,1.56,20.28,21.57
36,SFLWX,AIG Focused Alpha Large-Cap Fund Class W,0.42,1.55,25.47,26.46
37,JUEPX,JPMorgan U.S. Equity Fund Class R3,-0.02,-0.13,14.91,15.45
38,FCIVX,Frontier MFG Core Infrastructure Fund Service Class,0.25,1.53,15.83,17.19
39,FIATX,Fidelity Advisor International Capital Appreciation Fund Class M,0.31,1.53,19.46,20.62
40,JUSRX,JPMorgan U.S. Equity Fund Class R5,-0.02,-0.13,15.05,15.6
41,GASFX,Hennessy Gas Utility Fund Investor Class,0.37,1.53,24.04,26.56
42,SXPAX,DWS S&P 500 Index Fund - Class A,-0.07,-0.22,29.88,31.6
43,FMIYX,FMI International Fund Institutional Class,0.02,0.08,24.42,28.69
44,JDEAX,JPMorgan U.S. Research Enhanced Equity Fund Class A,-0.07,-0.27,24.41,25.52
45,SXPCX,DWS S&P 500 Index Fund - Class C,-0.06,-0.19,29.79,31.5
46,FOSFX,Fidelity Overseas Fund,0.69,1.47,44.37,47.61
47,MYSPX,MainStay MacKay S&P 500 Index Fund Investor Class,-0.08,-0.19,39.86,42.64
48,FOSKX,Fidelity Overseas Fund Class K,0.68,1.45,44.28,47.51
49,FDVIX,Fidelity Advisor Diversified International Fund I Class,0.32,1.41,21.51,22.93
50,GQETX,GMO Quality Fund Class III,0.0,0.0,22.61,23.69
51,FMFAX,Fidelity Advisor Materials Fund Class A,0.51,0.83,57.35,61.76
52,FMFTX,Fidelity Advisor Materials Fund Class M,0.5,0.82,56.78,61.17
53,FADCX,Fidelity Advisor Diversified International Fund Class C,0.3,1.4,20.29,21.64
54,FSDPX,Fidelity Select Materials Portfolio,0.52,0.84,57.6,62.04
55,FMFCX,Fidelity Advisor Materials Fund Class C,0.49,0.83,55.26,59.51
