,Symbol,name_a,price,changesPercentage,change_a,yearHigh,yearLow,priceAvg50,priceAvg200,Name,Change,%_Change,50_Day_Avg,200_Day_Avg,fund_extended_name,fund_family,net_assets,ytd_return,fund_yield,morningstar_rating,inception_date,investment,f_size,net_annual_expense_ratio_fund,price_earnings,price_book,morningstar_return_rating,fund_return_1month,fund_return_3months,fund_return_1year,fund_return_3years,fund_return_5years,fund_return_10years,fund_return_2018,portfolio_cash,portfolio_stocks,portfolio_bonds,portfolio_others,portfolio_preferred,portfolio_convertable,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,morningstar_risk_rating,fund_alpha_3years,fund_beta_3years,fund_r_squared_3years,fund_standard_deviation_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years
0,NSCCX,Nuveen NWQ Small-Cap Value Fund Class C,29.86,-2.74,-0.84,40.75,21.67,27.172940999999998,33.193236999999996,Nuveen NWQ Small-Cap Value Fund Class C,-0.84,-2.74,27.17,33.19,Nuveen NWQ Small-Cap Value Fund Class C,Nuveen,603.6,12.94,0.0,2,2004-12-07,Blend,Small,2.01,14.04,1.33,2.0,-2.15,12.94,-8.1,5.96,3.73,15.36,-19.79,0.76,98.51,0.0,0.73,0.0,0.0,11.3,12.05,22.74,7.26,3.93,2.15,0.0,0.0,9.67,14.53,16.39,4.0,-9.56,1.29,66.88,16.89,0.35,3.63
1,APGCX,AB Large Cap Growth Fund Class C,43.79,0.34,0.15,43.72,31.46,40.76147,40.264559999999996,AB Large Cap Growth Fund Class C,0.15,0.34,40.76,40.26,AB Large Cap Growth Fund Class C,AllianceBernstein,8440.0,15.7,0.0,4,1993-05-02,Growth,Large,1.66,24.03,7.3,4.0,2.32,15.7,14.94,16.48,14.27,16.94,1.16,10.24,89.76,0.0,0.0,0.0,0.0,2.41,15.67,9.63,0.0,10.29,23.61,0.0,0.0,0.0,6.61,31.78,3.0,2.92,0.98,85.33,11.4,1.29,15.5
2,ASERX,American Century Select Fund R Class,80.44,0.24,0.19,84.03,58.01,75.31824,75.70713,American Century Select Fund R Class,0.19,0.24,75.32,75.71,American Century Select Fund R Class,American Century Investments,3050.0,15.59,0.0,3,2005-07-28,Growth,Large,1.47,21.92,5.54,3.0,2.66,15.59,9.87,14.87,12.13,15.41,-4.1,0.39,99.61,0.0,0.0,0.0,0.0,1.24,18.37,14.58,0.48,6.1,12.56,0.0,0.73,1.35,12.31,32.27,3.0,0.52,1.07,89.52,12.14,1.1,12.7
3,SCMGX,Sands Capital Global Growth Fund Institutional Shares,29.18,0.72,0.209999,29.04,20.63,26.806765000000002,26.546324,Sands Capital Global Growth Fund Institutional Shares,0.21,0.72,26.81,26.55,Sands Capital Global Growth Fund Institutional Shares,Sands Capital,1350.0,16.0,0.06,5,2010-03-30,Growth,Large,0.97,33.27,6.52,5.0,2.57,16.0,6.91,18.14,10.38,0.0,-2.72,3.9,96.1,0.0,0.0,0.0,0.0,1.54,32.98,11.44,0.0,3.07,21.61,0.0,0.0,0.0,1.8,27.56,5.0,8.55,1.13,69.84,14.26,1.16,14.97
4,PRDSX,T. Rowe Price QM U.S. Small-Cap Growth Equity Fund,37.34,-1.09,-0.41,41.51,25.9,33.964413,36.66662,T. Rowe Price QM U.S. Small-Cap Growth Equity Fund,-0.41,-1.09,33.96,36.67,T. Rowe Price QM U.S. Small-Cap Growth Equity Fund,T. Rowe Price,7550.0,17.23,0.0,4,1997-06-29,Growth,Medium,0.79,21.47,3.25,4.0,0.38,17.23,7.04,14.94,10.16,18.52,-6.86,0.23,99.77,0.0,0.0,0.0,0.0,4.63,13.5,6.01,3.27,5.98,21.66,0.34,1.44,2.43,19.82,20.93,2.0,-1.19,1.24,86.59,14.32,0.96,11
5,TGVRX,Thornburg International Value Fund Class R3,21.18,0.47,0.1,24.1,16.58,19.822647,21.499338,Thornburg International Value Fund Class R3,0.1,0.47,19.82,21.5,Thornburg International Value Fund Class R3,Thornburg,3590.0,15.54,1.0,3,2003-06-30,Growth,Large,1.45,15.25,2.07,3.0,2.29,15.54,-5.51,5.31,3.17,7.86,-20.22,5.91,94.09,0.0,0.0,0.0,0.0,4.57,8.85,18.46,0.0,15.93,6.16,2.13,2.98,8.44,15.73,16.76,4.0,-3.31,1.13,89.44,12.66,0.37,3.55
6,FMFCX,Fidelity Advisor Materials Fund Class C,59.51,0.83,0.49000299999999997,67.12,41.23,55.259409999999995,59.51396999999999,Fidelity Advisor Materials Fund Class C,0.49,0.83,55.26,59.51,Fidelity Advisor Materials Fund Class C,Fidelity Investments,1060.0,10.64,0.06,3,2006-12-11,Value,Large,1.81,14.38,1.88,3.0,-1.21,10.64,-10.88,5.18,0.18,11.38,-24.42,0.0,100.0,0.0,0.0,0.0,0.0,92.4,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.0,3.0,-6.19,1.17,68.23,14.14,0.34,3.33
7,BARIX,Baron Asset Fund Institutional Class,92.22,0.68,0.62,97.25,64.09,84.91441,86.59103,Baron Asset Fund Institutional Class,0.62,0.68,84.91,86.59,Baron Asset Fund Institutional Class,Baron Capital Group,4020.0,20.4,0.0,5,2009-05-28,Growth,Medium,1.04,29.85,4.06,4.0,3.41,20.4,15.17,18.15,12.16,17.51,0.14,2.47,97.53,0.0,0.0,0.0,0.0,0.0,8.78,12.51,6.98,0.0,22.24,0.0,3.52,0.0,19.77,26.19,3.0,2.3,1.17,86.7,13.55,1.21,14.36
8,UOPSX,ProFunds UltraNASDAQ-100 Fund Service Class,74.71,-0.48,-0.36,88.33,42.59,67.51971,69.18919,ProFunds UltraNASDAQ-100 Fund Service Class,-0.36,-0.48,67.52,69.19,ProFunds UltraNASDAQ-100 Fund Service Class,ProFunds,421.84,33.63,0.0,2,1997-11-30,Growth,Large,2.41,18.58,4.86,5.0,7.48,33.63,15.94,32.08,26.99,36.45,-10.31,26.4,70.69,0.0,2.91,0.0,0.0,0.0,19.2,1.68,0.0,6.74,8.84,0.36,4.26,0.0,4.09,54.83,5.0,3.58,2.26,74.0,28.29,1.09,13.6
9,SDLAX,SEI Institutional Investments Trust Dynamic Asset Allocation Fund Class A,19.29,-0.21,-0.040001999999999996,22.42,14.26,18.293236,19.447132,SEI Institutional Investments Trust Dynamic Asset Allocation Fund Class A,-0.04,-0.21,18.29,19.45,SEI Institutional Investments Trust Dynamic Asset Allocation Fund Class A,SEI,2420.0,12.95,0.62,4,2010-07-29,Blend,Large,0.07,16.03,2.53,4.0,1.71,12.95,6.24,12.17,11.57,0.0,-7.76,1.54,73.7,0.0,24.76,0.0,0.0,3.73,12.37,13.47,3.24,7.88,13.61,3.51,3.25,4.89,12.31,21.75,2.0,-0.68,0.95,96.65,10.4,1.03,11.4
